company,partNum,partDesc,rangeName,groupDesc,subGroupDesc,stockLev
SECONFU,100-101-032,JULIA 2 DOOR SLIDER WARDROBE - BEECH/WHITE TRIM,JULIA RANGE,BEDROOM FURNITURE,WARDROBES,423
SECONFU,100-101-060,LISBON SLIDER WARDROBE - BLACK WOOD GRAIN,LISBON RANGE,BEDROOM FURNITURE,WARDROBES,10
SECONFU,100-101-067,SEVILLE 3 DOOR 2 DRAWER WARDROBE - BLACK GLOSS/LIGHT OAK EFFECT VENEER,SEVILLE RANGE,BEDROOM FURNITURE,WARDROBES,164
SECONFU,100-101-076,NEVADA 4 DOOR 2 DRAWER WARDROBE - OYSTER GLOSS/LIGHT OAK EFFECT VENEER,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,170
SECONFU,100-101-078,NEVADA 3 DOOR 2 DRAWER WARDROBE - OYSTER GLOSS/LIGHT OAK EFFECT VENEER,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,492
SECONFU,100-101-079,NEVADA 2 DOOR 1 DRAWER WARDROBE - GREY GLOSS/LIGHT OAK EFFECT VENEER,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,318
SECONFU,100-101-084,NEVADA MIRRORED 2 DOOR WARDROBE - OYSTER GLOSS/LIGHT OAK EFFECT VENEER,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,311
SECONFU,100-101-145,NEVADA VANITY 1 DOOR WARDROBE - OYSTER GLOSS/LIGHT OAK EFFECT VENEER,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,499
SECONFU,100-101-152,NEVADA MIRRORED OPEN SHELF WARDROBE - BLACK WOOD GRAIN,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,106
SECONFU,100-101-162,NORDIC 2 DOOR 2 DRAWER WARDROBE - GREY/CHARCOAL CONCRETE EFFECT,NORDIC RANGE,BEDROOM FURNITURE,WARDROBES,281
SECONFU,100-101-170,MALVERN 2 DOOR WARDROBE - GREY,MALVERN RANGE,BEDROOM FURNITURE,WARDROBES,19
SECONFU,100-101-180,NEVADA 2 DOOR SLIDER WARDROBE - BLACK GLOSS,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,472
SECONFU,100-101-185,NEVADA 5 DRAWER LOW WARDROBE - BLACK GLOSS,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,170
SECONFU,100-101-190,NEVADA 2 DOOR ALL HANGING WARDROBE - WHITE GLOSS,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,53
SECONFU,100-101-203,PORTLAND 3 DOOR WARDROBE - GREY/OAK EFFECT,PORTLAND RANGE,BEDROOM FURNITURE,WARDROBES,252
SECONFU,100-101-204,PORTLAND 3 DOOR WARDROBE - WHITE/OAK EFFECT,PORTLAND RANGE,BEDROOM FURNITURE,WARDROBES,398
SECONFU,100-101-211,MALVERN 4 DOOR WARDROBE - URBAN SNOW,MALVERN RANGE,BEDROOM FURNITURE,WARDROBES,80
SECONFU,100-101-217,DENVER 3 DOOR WARDROBE - WHITE GLOSS,DENVER RANGE,BEDROOM FURNITURE,WARDROBES,329
